Nome Completo;Idade;CPF;Setor de Trabalho;Cargo;Tipo de Contrato;Pretensao Salarial;Indicacao;Ano de Experiencia
Amanda Santos;29;123.456.789-09;Marketing;Analista;CLT;7850.00;1;8
Bruno Carvalho;35;987.654.321-00;TI;Desenvolvedor;PJ;11200.00;0;12
Carolina Mendes;22;456.789.123-45;RH;Assistente;Estagio;2950.00;1;2
Daniel Ribeiro;41;321.654.987-12;Logistica;Supervisor;CLT;10250.00;0;15
Elaine Costa;26;654.123.789-23;Financeiro;Analista;Temporario;6850.00;1;6
Fábio Martins;33;789.321.654-34;TI;Coordenador;PJ;9350.00;0;9
Gabriela Alencar;24;234.567.891-67;Marketing;Assistente;Estagio;3100.00;0;3
Hugo Barros;38;891.234.567-89;Financeiro;Gerente;CLT;11500.00;1;16
Isabel Torres;31;567.891.234-90;RH;Analista;Temporario;5950.00;1;7
Júlio Castro;27;345.678.912-56;Logistica;Analista;CLT;7450.00;0;5
Karen Pimentel;45;678.912.345-78;TI;Gerente;PJ;12700.00;1;18
Leonardo Dias;20;912.345.678-01;Marketing;Estagiario;Estagio;2700.00;1;1
Marina Andrade;36;432.109.876-54;Financeiro;Coordenador;Temporario;8950.00;0;11
Nicolas Rocha;28;109.876.543-21;RH;Coordenador;CLT;8250.00;1;6
Olivia Campos;42;876.543.210-98;Logistica;Gerente;PJ;11800.00;0;17
Paulo Henrique;23;543.210.987-65;TI;Estagiario;CLT;3350.00;0;0
Quintino Silva;39;210.987.654-32;Marketing;Supervisor;Temporario;9550.00;1;13
Renata Vasconcelos;34;987.654.321-09;Financeiro;Analista;CLT;7650.00;1;8
Sérgio Moura;25;654.321.098-76;TI;Programador;PJ;10500.00;0;4
Tatiana Lopes;47;321.098.765-43;RH;Gerente;CLT;12200.00;1;19
Ulisses Correia;30;098.765.432-10;Logistica;Assistente;Estagio;3250.00;0;2
Vanessa Medeiros;26;765.432.109-87;Marketing;Analista;Temporario;7150.00;1;5
Wagner Teixeira;43;432.109.876-55;TI;Coordenador;CLT;9750.00;0;14
Xavier Fontes;22;109.876.543-22;Financeiro;Assistente;Estagio;2850.00;1;3
Yasmin Guerra;37;876.543.210-99;Logistica;Analista;PJ;9250.00;1;10
Zélia Maciel;29;543.210.987-66;RH;Assistente;Temporario;4850.00;0;4
Arthur Gomes;32;210.987.654-33;TI;Desenvolvedor;CLT;8950.00;1;7
Bianca Siqueira;24;987.654.321-10;Marketing;Coordenador;PJ;10150.00;0;5
Caio Monteiro;40;654.321.098-77;Financeiro;Supervisor;Temporario;11250.00;1;15
Débora Luz;19;321.098.765-44;RH;Estagiario;Estagio;2600.00;0;1
Eduardo Nunes;35;098.765.432-11;Logistica;Coordenador;CLT;8750.00;1;11
